iter	Passed	Remaining
398	159524	240285
399	160088	240133
400	160608	239911
401	161166	239745
402	161671	239498
403	162480	239698
404	162999	239468
405	163596	239349
406	164185	239218
407	164776	239088
408	165373	238962
409	165938	238789
410	166552	238684
411	167124	238517
412	167723	238386
413	168313	238240
414	168892	238078
415	169462	237899
416	170105	237820
417	170713	237691
418	171290	237517
419	171897	237382
420	172461	237186
421	173082	237065
422	173673	236902
423	174278	236755
424	174853	236566
425	175468	236428
426	176036	236226
427	176615	236036
428	177221	235881
429	177744	235614
430	178329	235427
431	178877	235191
432	179470	235011
433	180029	234784
434	180655	234645
435	181226	234430
436	182069	234565
437	182677	234394
438	183247	234172
439	183850	233991
440	184428	233776
441	185038	233601
442	185624	233392
443	186228	233205
444	186775	232944
445	187340	232705
